"INDICATOR_SEQ","PARENT_SEQ","AGENCY_NAME","INDICATOR_NAME","DESCRIPTION","CATEGORY","FREQUENCY","DESIRED_CHANGE","INDICATOR_UNIT","DECIMAL_PLACES","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL"
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,1,.75,.54,.75,.54
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,2,.89,.75,1.02,.98
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,3,.90,.77,.92,.80
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,4,.97,.79,1.20,.84
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,5,.99,.94,1.08,1.49
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,6,1.03,.94,1.18,.97
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,7,1.07,.98,1.35,1.19
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,8,1.09,.97,1.20,.91
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,9,1.09,.97,1.15,1.02
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,10,1.09,.98,1.02,.99
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,11,1.07,.96,.89,.80
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2008,12,1.07,.95,1.06,.83
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,1,.61,.58,.61,.58
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,2,.74,.57,.87,.56
74039,0,"Bridges and Tunnels","Collisions with Injury Rate","All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.","Safety Indicators","M","D","-",2,2009,3,.75,.68,.76,.86
