"INDICATOR_SEQ","PARENT_SEQ","AGENCY_NAME","INDICATOR_NAME","DESCRIPTION","CATEGORY","FREQUENCY","DESIRED_CHANGE","INDICATOR_UNIT","DECIMAL_PLACES","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL"
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,1,2.70,2.24,2.70,2.24
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,2,2.70,1.54,2.70,.79
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,3,2.70,1.62,2.70,1.76
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,4,2.70,1.53,2.70,1.24
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,5,2.70,1.66,2.70,2.18
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,6,2.70,1.85,2.70,2.61
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,7,2.70,1.92,2.70,2.38
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,8,2.70,1.99,2.70,2.46
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,9,2.70,2.03,2.70,2.30
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,10,2.70,2.06,2.70,2.32
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,11,2.70,2.02,2.70,1.59
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2008,12,2.70,2.05,2.70,2.40
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,1,1.95,2.33,1.95,2.33
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,2,1.95,2.86,1.95,3.37
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,3,1.95,2.75,1.95,2.58
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,4,1.95,2.70,1.95,2.55
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,5,1.95,2.46,1.95,1.64
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,6,1.95,2.39,1.95,1.98
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,7,1.95,2.34,1.95,2.10
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,8,1.95,2.50,1.95,3.72
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,9,1.95,2.49,1.95,2.43
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,10,1.95,2.41,1.95,1.76
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,11,1.95,2.32,1.95,1.30
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2009,12,1.95,2.30,1.95,2.08
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,1,1.95,3.88,1.95,3.88
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,2,1.95,2.94,1.95,2.28
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,3,1.95,2.64,1.95,2.02
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,4,1.95,2.60,1.95,2.47
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,5,1.95,2.47,1.95,2.02
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,6,1.95,2.44,1.95,2.30
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,7,1.95,2.52,1.95,2.94
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,8,1.95,2.79,1.95,4.98
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,9,1.95,2.80,1.95,2.82
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,10,1.95,2.77,1.95,2.55
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,11,1.95,2.76,1.95,2.67
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2010,12,1.95,2.77,1.95,2.90
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,1,2.25,4.65,2.25,4.65
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,2,2.25,3.61,2.25,2.50
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,3,2.25,3.36,2.25,2.93
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,4,2.25,3.39,2.25,3.48
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,5,2.25,3.04,2.25,1.66
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,6,2.25,2.98,2.25,2.71
20419,0,"Long Island Rail Road","Employee Lost Time and Restricted Duty Rate","Lags. An employee lost time injury or illness is one that prevents an employee from returning to work for at least one full shift. The rate is injuries and illnesses per 200,000 worker hours.","Safety Indicators","M","D","-",2,2011,7,2.25,2.90,2.25,2.38
