"INDICATOR_SEQ","PARENT_SEQ","AGENCY_NAME","INDICATOR_NAME","DESCRIPTION","CATEGORY","FREQUENCY","DESIRED_CHANGE","INDICATOR_UNIT","DECIMAL_PLACES","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL"
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,1,98.00,99.30,98.00,99.30
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,2,98.00,99.20,98.00,99.10
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,3,98.00,98.40,98.00,96.90
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,4,98.00,98.40,98.00,98.60
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,5,98.00,98.20,98.00,97.40
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,6,98.00,97.80,98.00,95.90
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,7,98.00,97.70,98.00,97.00
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,8,98.00,97.70,98.00,97.70
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,9,98.00,97.80,98.00,98.20
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,10,98.00,97.70,98.00,96.80
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,11,98.00,97.60,98.00,97.00
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2008,12,98.00,97.60,98.00,97.20
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2009,1,97.90,96.40,97.90,96.40
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2009,2,97.90,97.60,97.90,98.90
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2009,3,97.90,97.90,97.90,98.50
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2009,4,97.90,98.10,97.90,98.80
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2009,5,97.90,98.20,97.90,98.50
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2009,6,97.90,98.10,97.90,97.60
28345,55526,"Metro-North Railroad","Hudson Line - OTP","Percent of commuter trains that arrive at their destinations within 5 minutes and 59 seconds of the scheduled time.","Service Indicators","M","U","%",1,2009,7,97.90,98.10,97.90,97.80
