"INDICATOR_SEQ","PARENT_SEQ","AGENCY_NAME","INDICATOR_NAME","DESCRIPTION","CATEGORY","FREQUENCY","DESIRED_CHANGE","INDICATOR_UNIT","DECIMAL_PLACES","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL"
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,1,3767.00,4818.00,3478.00,4818.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,2,3767.00,4772.00,3442.00,4722.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,3,3767.00,4920.00,3849.00,5242.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,4,3767.00,5000.00,4050.00,5251.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,5,3767.00,4868.00,3299.00,4405.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,6,3767.00,4718.00,3260.00,4115.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,7,3767.00,4603.00,3336.00,4010.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,8,3767.00,4568.00,3401.00,4342.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,9,3767.00,4542.00,4726.00,4343.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,10,3767.00,4536.00,3767.00,5103.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,11,3767.00,4653.00,3767.00,5354.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2008,12,3767.00,4631.00,3767.00,4418.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,1,4300.00,3924.00,4514.00,3924.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,2,4300.00,3919.00,4145.00,3914.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,3,4300.00,3782.00,4500.00,3550.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,4,4300.00,3740.00,4630.00,3625.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,5,4300.00,3614.00,4138.00,3171.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,6,4300.00,3418.00,3785.00,2699.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,7,4300.00,3352.00,3806.00,3008.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,8,4300.00,3275.00,4106.00,2815.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,9,4300.00,3284.00,4399.00,3366.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,10,4268.00,3320.00,4880.00,3667.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,11,4300.00,3380.00,4680.00,4170.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2009,12,4300.00,3372.00,4294.00,3294.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,1,3648.00,3595.00,3648.00,3595.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,2,3721.00,3809.00,3805.00,4067.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,3,3766.00,3634.00,3851.00,3353.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,4,3743.00,3662.00,3677.00,3743.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,5,3653.00,3575.00,3334.00,3259.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,6,3540.00,3502.00,3069.00,3184.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,7,3495.00,3383.00,3251.00,2813.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,8,3461.00,3347.00,3239.00,3119.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,9,3505.00,3363.00,3906.00,3494.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,10,3553.00,3380.00,4025.00,3426.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,11,3616.00,3426.00,4436.00,3415.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2010,12,3616.00,3438.00,3614.00,3585.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2011,1,3634.00,3162.00,3634.00,3162.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2011,2,3707.00,3105.00,3791.00,3047.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2011,3,3752.00,3285.00,3837.00,3650.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2011,4,3729.00,3393.00,3663.00,3759.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2011,5,3640.00,3391.00,3322.00,3383.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2011,6,3527.00,3330.00,3058.00,3061.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2011,7,3482.00,3226.00,3239.00,2716.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2011,8,3449.00,3216.00,3227.00,3149.00
166787,166587,"MTA Bus","Mean Distance Between Failures - MTA Bus","Average number of miles a bus travels between  mechanical failures","Service Indicators","M","U","-",0,2011,9,3492.00,3205.00,3892.00,3125.00
